Знаки Зодиака;sun;ascendant;moon;mercury;venus;mars;jupiter;saturn;uranus;neptune;pluto
Овен;Солнечный Овен обладает несгибаемым характером. Он всегда уверен в своей правоте и не пытается подвергнуть хоть какому-то анализу происходящее вокруг. Нередко эти свойства огненной натуры вредят Овну, поскольку он склонен сосредотачивать усилия на предметах, абсолютно не заслуживающих внимания, в то время как реальная выгода проходит мимо него. Благодаря природному оптимизму Овен легко переживает трудные времена. Единственное, что может выбить его из колеи – это критика со стороны близких ему людей. Поощрение и восхищение – вот что нужно этому знаку, чтобы чувствовать баланс внутренних сил.;Рождается натив быстро и стремительно, чаще раньше срока или мать не успевает доехать до роддома. Это борец и лидер, с детства понимающий, как отвоевывать ведущие позиции в интересующем его деле. Порывистый и страстный, честный до прямоты, он не выносит слабости и пассивности других людей, поэтому воспринимается ими как грубый и дерзкий, несмотря на то, что неустанно трудится для достижения целей. Натив всегда повернут к миру сильной стороной, скрывающей верное и любящее сердце.;Вам свойственны адаптивность и непостоянство в своих усилиях. Возможны частые эмоциональные потрясения из-за вашего вспыльчивого характера, так как спокойствие не ваша сильная сторона и если дела идут не так, как вам бы этого хотелось, вы можете просто перегореть как обычная лампочка. Людям рожденным с Луной в Овне также присуща спонтанность, темпераментность, импульсивность и упрямство, еще они испытывают огромную неприязнь к ограничениям.;Люди с Меркурием в Овне откровенны и прямы в словах и действиях. Ваши мысли оригинальны и наполнены энтузиазмом и энергией.;Венера желает отношений, социальных контактов и привязанности. Овны, в свою очередь, решительны, требовательны и при этом постоянно пытаются взять на себя инициативу.;Люди с Марсом в Овне агрессивны, предприимчивы, любят приключения и всегда в поисках новых проектов и перспектив. Вы ненавидите ограничения и не любите когда вам говорят что и как делать.;Люди с Юпитером в Овне полны энтузиазма, напористы, энергичны, и переполнены множеством идей: как вырасти, начать, продвигать или расширять те идеи, которые наполняют их головы.;Лучшим качеством Сатурна является систематичность, когда как ярко выраженным положительным качеством Овнов – лидерство. Поэтому люди, рожденные с Сатурном в знаке Овен, могут быть очень способными лидерами.;;;
Телец;Телец обладает огромной внутренней силой, которая позволяет ему выстоять даже в самые трудные времена. Однако при таких незаурядных данных этот представитель земной стихии часто остается в бездействии, дожидаясь наилучшего момента, и нередко упускает неплохие возможности. Солнечный Телец не склонен к сиюминутным порывам. Напротив: в его жизни все должно быть четко распланировано. Любые форс-мажорные обстоятельства могут свести такого человека с ума, хотя внешне он не покажет ни тени смущения и будет продолжать двигаться вперед, несмотря ни на что.;Характер миролюбивый, поведение слегка медлительное. Он не торопится, выполняя поручения, знает, что благодаря трудолюбию и упорству все равно придет к цели. Любое дело доводит до конца, уважает семейные ценности и производит впечатление добродушного простака, что побуждает завистников дразнить и провоцировать его. Если терпение обладателя Асцендента в Тельце лопается, то он крушит противников словно бешеный бык, а после приходит в ужас от того, что совершил.;Луна: второе важнейшее светило, у женщин часто - первое. Луна собирает и преобразует энергию других планет, особенно Солнца. Повелительница инстинктов и эмоций. Планета настроений. Символ женского начала, зачатия и материнства - в отличие от Венеры как символа чувственной любви. Эмоциональное состояние Лунных Тельцов стабильно, и это качество в вас окружающие находят успокаивающим. Вы, как правило, уравновешены и миролюбивы, поэтому вас нелегко выбить из колеи или добиться от вас каких-то эмоциональных проявлений.;Речь и манера мышления таких людей нетороплива и вполне обдуманна. Вы не подвержены быстрой смене точки зрения при отсутствии оснований на это. Люди, рожденные с Меркурием под знаком Тельца в натальной карте, полны решимости, практичны, методичны, и консервативны.;Люди рожденные с Венерой в знаке Тельца, в любовных делах верны и постоянны, в особенности если их партнер проявляет открытость и привязанность.;Как только что-то пришло в голову людям рожденным с Марсом в Тельце, они будут стремиться к поставленной цели со всей самоотверженностью, решимостью и невероятной самоотдачей.;Основным желанием Тельцов является расширение мира вокруг себя практичными, ощутимыми и материальными вещами.;Люди, рожденные с Сатурном под знаком Тельца в натальной карте, очень настойчивы в достижении своих целей. Порой они слишком озабочены материальными благами и желанием запасти как можно больше на пресловутый «черный день».;;;
Близнецы;Любой представитель знака Близнецы – весьма интересная личность. Его характеристика отличает какой-то особенностью, невероятная двойственность. Он может одновременно быть и шутником - балагуром, и очень серьезным человеком. Только Солнечные Близнецы могут так легко оценить ситуацию с диаметрально противоположных точек зрения. В то же время этот знак характеризуется непостоянством во всех проявлениях.;При высокой эрудиции это прекрасный собеседник-интеллектуал, владеющий интересной информацией по любой теме, однако лишенный теплоты эмоционального контакта, из-за чего водным знакам, Рыбам и Раку, трудно общаться с представителем Асцендента в Близнецах, зато подопечные воздушной стихии души в нем не чают. Постоянная занятость разнообразными занятиями не исключает распыление энергии и поверхностности знаний, когда всеведущий натив на деле оказывается дилетантом.;Луна: второе важнейшее светило, у женщин часто - первое. Луна собирает и преобразует энергию других планет, особенно Солнца. Повелительница инстинктов и эмоций. Планета настроений. Символ женского начала, зачатия и материнства - в отличие от Венеры как символа чувственной любви. Вы склонны размышлять над своими чувствами. Настроения людей рожденных с Луной в знаке Близнецов, проявляются через их слова и порой они совершенно не осознают собственных ощущений или глубины чувств и эмоциональных потребностей окружающих их людей.;Люди, рожденные с Меркурием под знаком Близнецов в натальной карте, чрезвычайно адаптивны, энергичны, активны, бдительны, любопытны и разносторонне развиты.;В вопросах любви и романтики людей, рожденных с Венерой в Близнецах, больше привлекают чувство юмора, интеллект и навыки общения, нежели внешность их партнера.;Марсианские Близнецы всегда заняты умственно или физически, словно маленькие пчелки. Они постоянно в движении, погруженные в различные дела, как правило, в несколько одновременно.;Люди рожденные с Юпитером в знаке Близнецов в натальной карте, умны, остроумны и жизнерадостны. Вы любите путешествовать, приобретая опыт и знания от происходящих событий и людей, которых вы встречаете.;Мышление людей рожденных с Сатурном в Близнецах, целенаправленно и серьезно, а обладание организаторскими способностями, концентрацией внимания и эмоциональной устойчивостью, позволяет вам сосредоточиться на трудно решаемых проблемах.;;;
Рак;Солнечный Рак принадлежит к типу весьма чувствительных людей, обладающих тонкой душевной организацией. Он остро ощущает любой неодобрительный взгляд в свою сторону, и сильно переживает по этому поводу. В то же время этот знак несет внутри себя огромную силу, которая дает ему возможность целенаправленно или нет влиять на людей, передавая им свое настроение. Периоды его жизни, окрашенные в меланхолические тона, сменяются периодами, когда его обаяние находится на высоте. В такие моменты все удивляются отменному чувству юмора рака и его дружелюбию.;Внутри натива стальной стержень честолюбия с целевыми установками, свернуть с которых невозможно. Потребность в независимости побуждает отвергать опеку и бороться за независимость, и снижается только при условии сильной влюбленности. Душевную ранимость носитель Асцендента в Раке прячет за стремлением помочь обездоленным. Антипатии и симпатии включаются мгновенно под влиянием хорошей интуиции. Обиды помнит долго, но при гармоничной Луне это добрый и любящий партнер и друг, работящий и верный. Ключик к сердцу – искренняя похвала его деятельности. ;Луна: второе важнейшее светило, у женщин часто - первое. Луна собирает и преобразует энергию других планет, особенно Солнца. Повелительница инстинктов и эмоций. Планета настроений. Символ женского начала, зачатия и материнства - в отличие от Венеры как символа чувственной любви. Лунные Раки очень легко поддаются эмоциональной среде, в которой обитают. Вы впитывает все чувства, как губка. Скорее всего, именно из-за этого вы становитесь слишком капризными, раздражительными, с непостоянными мыслями и чувствами.;У людей рожденных с Меркурием в знаке Рака, мысли связаны с воспоминаниями, чувствами, эмоциями и прошлым. Вы склонны хвататься за воспоминания о вещах, которые приносят вам чувство безопасности.;Люди рожденные с Венерой под знаком Рака спокойны, застенчивы, чувствительны, нежны и романтичны, чувства таких личностей сильно привязаны к семейным ценностям, старым друзьям, знакомым местам, воспоминаниям и к прошлому. ;Люди рожденные с Марсом в знаке Рака стараются избегать прямых столкновений, предпочитая решать вопросы в обход или нападают на соперников настраивая других людей против них. Агрессивное и конкурентоспособное поведение приносит много неудобств Марсовым Ракам, поэтому они стараются этого избегать.;Человек рожденный с Юпитером в Раке – любящий, мирный, дружелюбный, общительный, отзывчивый и, возможно, достаточно патриотичный человек.;Люди рожденные с Сатурном в Раке сильны и настойчивы, беспокоятся о своих родных и близких. Можете быть капризными и неуверенными, возможно из-за ощущения, что вас не любят родители.;;;
Лев;Солнце в знаке Льва находится в своем доме (обители) и показывает чистые имеющиеся качества. Лев – благородное создание. Его величественная поступь и снисходительное отношение к окружающим выдают в нем настоящего Царя зверей. Стихия Огня добавляет Льву энергичности и ленивой силы. Самоуверенность Льва не сравнится с самомнением ни одного из знаков ;Щедро наделенный харизмой и огненной энергетикой, он привлекает внимание царственным внешним видом и манерами, преподнося себя как совершенно особенного человека так искусно, что окружающие мгновенно в это верят. Это осознанный манипулятор, готовый на превышение моральных законов ради собственной выгоды, но щедрый и справедливый, если это не ущемляет его интересы. Восходящий Лев никогда не доверяет полностью даже проверенным людям и чувствует себя на сцене даже в одиночестве в собственном доме.;Лунные Львы добры, щедры, любят близких людей и выражают по отношению к ним глубокую преданность. Вы хотите, чтобы вас боготворили и вам поклонялись, словно королю или королеве, какими вы сами себя ощущаете. Вам нужен партнер, которым можно гордиться, и ваша собственная гордость не менее важна для вас. Вы не полюбите того, кого не уважаете. Вам важно чувствовать, что вас узнают и ценят.;Люди рожденные с Меркурием во Льве в натальной карте, имеют сильные и твердые убеждения, они любят выражать свои мысли энергично и ясно. ;Люди с Венерой во Льве в натальной карте, отзывчивые, самостоятельные, страстные, нежные, верные и благородные. В партнере, вы не ищете, мелочность и скупость. Вы жаждите любви и понимания.;Люди с Марсом во Льве в натальной карте гордятся собой и, вероятно, имеют большое эго. Вы хотите выделиться, выгодно отличиться, чтобы все узнавали в вас того, кто вы есть. ;Люди рожденные с Юпитером в знаке Льва как правило щедрые, добрые, сочувствующие и альтруистичные люди. У вас есть способности к организаторской и руководительской деятельности.;Люди рожденные с Сатурном во Льве в натальной карте наделены навыками дипломата, организатора, руководителя и лидера. И все это наряду с сильной волей.;;;
Дева;Дева – натура материалистичная. Земная стихия, которая управляет ее духовной основой, заставляет Деву много внимания уделять различным бытовым мелочам. По этой причине представитель такого знака очень критичен к недостаткам других людей и несовершенству окружающего мира. При этом Солнечная Дева начинает борьбу за порядок, наводя чистоту в собственном доме.;Обладатели асцендента в Деве видят мир и события словно через микроскоп, замечая каждую деталь. Перфекционизм и высокие стандарты не дают промолчать при виде неряшливо сделанной работы или недобросовестного отношения к людям. Поэтому они зачастую одиноки, а встретив спутника жизни или друга стремятся подстроиться под него, чтобы не потерять. Удивительно, но эмоциональная холодность не мешает актерскому таланту. Носитель асцендента в Деве искусно мимикрирует под окружающих, если видит в этом смысл.;Люди рожденные с Луной в Деве очень чутки, осторожны, и, возможно, слишком стеснительны, чтобы показывать другим свои чувства. Хотя вы способны дарить любовь и заботу, вы редко выражаете свои чувства открыто и свободно. Вы, больше полагаетесь на рассудок, нежели на эмоции, по крайней мере, внешне.;Люди рожденные с Меркурием в знаке Девы очень требовательные, обладающие ясным, логическим и аналитическим складом ума со склонностью к работе, которая требует внимания к деталям и умелой организации. ;Люди рожденные с Венерой в знаке Девы довольно преданны и верны своим близким, порой становясь слугами для своих возлюбленных.;У людей рожденных с Марсом в Деве большой  энергичный потенциал в работе, они имеют высокие стандарты. Вас часто посещает мысль, что лучше сделать что-то самому, чтобы сделать все хорошо, потому как никто не сможет сделать работу так же тщательно, как вы.;У людей рожденных с Юпитером в Деве, осторожный, интеллектуальный, аналитический и практичный склад характера. Вы обладаете удивительной способностью отсеивать зерна от плевел.;Люди рожденные с Сатурном в знаке Девы трудолюбивые, умелые, практичные, требовательные, искусные в любом деле, организованные, порой робкие, бережливые, усердные, хозяйственные и пунктуальные.;;;
Весы;Характеристика представителей Солнечного знака Весов говорит о том что они обладают высоким уровнем интуитивного интеллекта. Они прекрасные собеседники, их дружелюбию и тонкому чувству юмора можно позавидовать. С окружающими Весы ведут себя довольно открыто и вместе тем мягко, не допуская неосторожных высказываний и стараясь не обижать близких. В обществе Весы производят впечатление активных, удачливых людей, однако не все так просто: натура этих воздушных людей весьма противоречива, и временами они сами от этого страдают.;Врожденное чувство справедливости и тонкое художественное чутье тянет его к высокоразвитым культурным людям, даже если волей судьбы он родился в низших социальных кругах. В поисках истины проявляет упрямство, доверяя интуиции, а не опыту других. Обладатель Асцендента в Весах прекрасно разбирается в человеческой психологии, ценит красоту души не меньше внешней формы. Чувство стиля проявляется в изысканном обустройстве жилища, необычной цветовой гамме одежды, в прекрасных манерах и красноречии.;Люди рожденные с Луной в Весах добры, отзывчивы, приятны, оптимистичны, честны и увлекаются социальными вопросами. Вы – тактичный и заботливый друг и можете сделать все, чтобы другие люди были приняты и оценены по достоинству. В то же время, скорее всего, вы обладаете здравым рассудком, способны делать правильные выводы.;Люди рожденные с Меркурием в Весах, способны видеть проблему со всех сторон, вести переговоры и добиваться компромисса и примирения. Вы дипломатичны, справедливы, тактичны и обладаете социальным тактом.;Люди рожденные с Венерой в знаке Весов очаровательны, тактичны, вежливы, внимательны, сбалансированы, гармоничны. У них есть огромное желание нравиться всем и не создавать никаких изменений.;Люди рожденные с Марсом в Весах часто колеблются между своей напористостью, агрессивностью и желанием сделать вещи по-своему, и одновременно хотят угодить всем и пойти на компромисс.;Люди рожденные с Юпитером в Весах, очень симпатичны и дружелюбны, являются настоящими философами. Вы расширяете свой кругозор и растете за счет того, что используете вашу способность быть любимыми. Можете поощрять других и активизировать их усилия. ;Люди рожденные с Сатурном в Весах настоящие дипломаты, тактичны и принимают сбалансированные решения, которые могут внушить доверие. Они нуждаются в сотрудничестве с другими людьми, гармонии, терпении и любви.;;;
Скорпион;Скорпион – это самый таинственный и непонятный для окружающих знак Зодиака. Характеристика Скорпионов говорит что среди них можно встретить и великих гуманистов, и законченных эгоистов, материалистов и романтиков, обладателей колоссального интеллекта и очень глупых людей. Всегда известно лишь одно: рядом с этим знаком нужно быть внимательным и осторожным, поскольку его действия трудно предугадать.;Натив рождается темноволосым, вне зависимости от генотипа родителей. Со временем волосы могут поменять цвет вплоть до светло-русого, но 90% восходящих Скорпионов в первые недели жизни смуглые брюнеты. Если Солнце в огненных знаках, то роды происходят стремительно, иногда с оперативным вмешательством или внушительной кровопотерей матери.;Люди рожденный с Луной под знаком скорпиона, как правило скрытны и склонны размышлять в тишине над проблемами, которые доставили им в реальности или просто в вашем вымышленном мире. Разумная и эмоциональная деятельность может быть направлена на чувства, секс или смерть.;Люди родившиеся с Меркурием в Скорпионе имеют превосходную умственную концентрацию и способность полностью погружаться в свою работу. Вы любите разгадывать загадки и вы прирожденный детектив.;В вопросах любви люди, рожденные с Венерой под знаком Скорпиона, жаждут глубоких, пылких и страстных отношений. Связи, которые вы поддерживаете, достаточно эмоциональны и даже могут рассматриваться как собственнические.;юди рожденные с Марсом в Скорпионе чрезвычайно волевые и преследуют свои цели, и желания со страстной самоотдачей и решимостью. Вы способны на полную концентрацию и жесткую дисциплину.;Люди рожденные с Юпитером в Скорпионе, эффективны и трудолюбивы, с талантом к бизнесу и финансам. Вы находчивы и готовы сделать всю работу необходимую для выполнения задачи.;Люди рожденные с Сатурном в Скорпионе могут быть очень дисциплинированными. У вас есть исполнительские таланты, проницательность и чрезвычайные способности. Вы можете иметь экстрасенсорные способности.;;;
Стрелец;Стрелец – это полноправный представитель огненной стихии, и его взрывной темперамент становится тому подтверждением. Этот знак является примером гармоничного сочетания внутренней и внешней энергии. Характеристика Солнечного Стрельца показывает что он открыт к общению и дружелюбен с окружающими, что заслуженно дает ему звание любимца публики. Вместе с тем это довольно свободолюбивый тип, который болезненно воспринимает любые покушения на собственную свободу.;Обладатели Асцендента в Стрельце отличные организаторы и руководители. Лидерство для подопечных Юпитера означает всеобщее уважение и преклонение перед их опытом. Эти два чувства вдохновляют на победы над ленью ради поддержания личного престижа в обществе. Второй источник радости – приключения и путешествия в компании единомышленников. Несмотря на напористость и прямолинейность восходящие Стрельцы окружены толпой друзей, привлеченных их оригинальностью мышления, бесстрашием и оптимизмом.;Луна: второе важнейшее светило, у женщин часто - первое. Луна собирает и преобразует энергию других планет, особенно Солнца. Повелительница инстинктов и эмоций. Планета настроений. Символ женского начала как зачатия и материнства - в отличие от Венеры как символа чувственной любви. Люди рожденные с Луной в знаке Стрельца независимы, открыты, щедры, позитивны, идеалистичны и оптимистичны – именно эти качества привлекают к ним большое количество друзей и знакомых. Вы любите путешествовать, коммуникабельны, общительны и можете выразить свое мнение.;Люди рожденные с Меркурием под знаком Стрельца обладают даром предвидения. Ваш ум зачастую занят большими идеями, планами и целями на будущее. Вы заинтересованы в том, чтобы достичь того, что виднеется на горизонте.;В любовных отношениях люди с Венерой в Стрельце ищут тех, с кем они могут расти, расширять свой кругозор и сознание. Вас привлекают веселые, игривые и открытые люди, готовые к новым приключениям и впечатлениям.;Люди рожденные с Марсом в Стрельце предприимчивые идеалисты, они следуют яркой и далекой звезде, планируют новые открытия и исследования, которые смогут расширить их горизонты.;Люди рожденные с Юпитером под знаком Стрельца обладают добрым сердцем, верные, щедрые, гуманные, обладают широким кругозором, терпеливые. Они на все смотрят с философской точки зрения.;Положительными чертами людей рожденных с Сатурном в Стрельце является хороший склад ума и желание принести пользу всему человечеству благодаря дисциплине, систематичности, умению оказать помощь.;;;
Козерог;Люди, рожденные под знаком Козерога, отличаются невероятной по своей силе целеустремленностью и стойкости к различного рода жизненным трудностям. Характеристика Солнечного Козерога являет собой воплощение силы и духа, будь то женщина или мужчина. Нет такой задачи, с которой бы не справился этот истинный представитель заемной стихии. В то же время они горды и самоуверенны, что нередко становится причиной конфликтов с окружающими и недопонимания в отношениях с близкими.;Обладатель Асцендента в Козероге – реалист, твердо стоящий на земле. Для него первостепенно высокое положение в обществе, ради чего он неустанно трудится и ограничивает себя в развлечениях и покупках. Достигнув цели, он вознаградит свое терпение покупкой недвижимости и земельных участков. Сдержанный в эмоциях и недоверчивый натив может расслабиться и сбросить защитную скорлупу только в уютной домашней обстановке.;Люди рожденные с Луной в знаке Козерога, серьезные и ответственные, они считают обязанности превыше всего. Вам неудобно показывать свои эмоции другим людям, и тем более, вы не хотите продемонстрировать, что нуждаетесь в помощи и поддержке. Вы не хотите выглядеть эмоционально слабыми. У вас высокие амбиции, быть может, потому что вы чувствуете себя нелюбимыми, нежеланными и несовершенными. Вы работаете очень усердно, потому что это позволяет вам испытать чувство важности или необходимости.;Люди рожденные с Меркурием в знаке Козерога наделены ясностью ума, дисциплинированностью, серьезностью, практичностью, организованностью, объективностью и трезвостью. Вас не впечатляют завышенные обещания.;Люди рожденные с Венерой в Козероге выражают свою любовь и привязанность обдуманно, бережно и со всей серьезностью. Вы не демонстрируете их открыто. Вы сильно озабочены тем, что о вас подумают люди.;Ваши поступки отражают амбиции к власти, признанию, почету и положению. Вы не хотите следовать за кем-либо. Вы хотите занимать главенствующую роль во всем, что делаете. Если не справляетесь, то способны стать жестоким манипулятором, который сносит любого, кто встанет на пути.;Люди рожденные с Юпитером в знаке Козерога, честные, искренние, преданные, изобретательные, находчивые и хорошо разбираются в разных механизмах. Ваши попытки роста, развития, поиска новых возможностей и желание преуспеть сочетаются с осторожностью.;Сатурн в знаке Козерога в вашей натальной карте, наделяет людей амбициями и способностью к самоконтролю и организации. Вы дисциплинированы, терпеливы, усердно работаете, за что получаете заслуженные поощрения.;;;
